,0
22,"@MayorBWPayne @Lupo55 Todos sabemos q desde q hicimos el negoción de cambiar la deuda con el FMI (q era al 4%) x la de Chávez (al 17%), Argentina no para de crecer y de exterminar la pobreza y la inflación... 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️"
23,"Infobae
Jornada financiera: fuertes caídas de los activos argentinos ante la falta de avances con el FMI
https://t.co/pbeRVG1UbW
#dolares #DolarParalelo #Euro #DolarBlue #Dinero #tipodecambio #DolarEuro #Argentina #cambio https://t.co/kgaMmfnFVp"
24,"EL FMI DEBERIA AYUDAR A LA ARGENTINA
A REPATRIAR LOS 400.000 MILLONES DE 
DOLARES QUE SE FUGARON AFUERA LOS PODEROSOS
DEL GOBIERNO DE MAURICIO MACRI, INCLUYENDOLO A EL MISMO"
25,"@carlosvarela02 1) el manejo desastroso de la economía les llevó a perder lad elecciones

2) el FA siguió endeudando al Estado

3) Uruguay sigue integrando el FMI

4) el FA repite el mismo eslogan que el kirchnerismo en Argentina. Que también perdió la elección el año pasado

Ya no te creen 🤟"
26,"@pedrorocha22a @marcelopueIIaok Datos dice el tarado y saca un gráfico de la nación más , más CACHIBACHE no se consigue , hacerte un enema de mauri que repito TOMÓ LA MAYOR DEUDA DE TODA LA HISTORIA ARGENTINA Y DEL FMI PARA FUGARLA ENTRE MUCHOS OTROS DESFALCOS LLAMATE A SILENCIO CACHIVACHE !!!!"
27,"Carlos Heller: ""Argentina tiene que seguir negociando con firmeza con el FMI y sin acordar cualquier cosa"" https://t.co/zbLnrc4IyI"
28,"@RCachanosky @Migraciones_AR ingreso ARGENTINA cero REQUISITO! Llegan++delincuentes/ASESINOS los PEORES, inmigrantes toman  CASAS, CALLES,VEREDAS, MANTEROS,NO PAGAN NO++ PLANES!ARGENTINOS yPLATA FMI? exigen++@CasaRosada @SenadoArgentina @DiputadosAR @UCRTICS @juntoscambioar + @fdetodosmatanza"
29,"@SEbGrusch @marcelopueIIaok Lo peor d la Democracia Argentina, está pasando xtu cara en estos momentos
Néstor canceló cn el FMI, Cristina DUPLICÓ la Deuda Pública q era d 126.500MILLONES  USD, Macri la subió x90.000MILLONES, y Alberto en DOS AÑOS la llevó a 353.314 (40.000PALOS VERDES).Datos, no chancleteo https://t.co/mDXNyiqNy9"
30,"El presidente Fernández sobre el FMI: “Tenemos derecho a crecer como queremos” 

#Mundo #Presidente #Fernández #FMI #Argentina 

https://t.co/7VEcB33fAf"
31,@emiliopsj2017 @Gatosylvestre Teléfono para @mauriciomacri que tomó la MAYOR DEUDA de TODA LA HISTORIA ARGENTINA y del FMI para FUGARLA entre muchos otros desfalcos !!!
